"","Identifiant","Date (AAAA/MM/JJ)","Heure","Intensité épicentrale","Qualité intensité épicentrale","Nom","Région épicentrale","Choc"
"","1120125","1870/11/22","12 h 45 min","3","I","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","1110048","1871/02/10","5 h 32 min","6","B","VALLEE DU RHIN (LORSCH-BENSHEIM)","ALLEMAGNE",""
"","1110268","1871/02/10","3 h 30 min","3","I","VALLEE DU RHIN (LORSCH-BENSHEIM)","ALLEMAGNE","PRECURSEUR"
"","1110274","1871/02/12","10 h 30 min","5","C","VALLEE DU RHIN (LORSCH-BENSHEIM)","ALLEMAGNE","REPLIQUE"
"","710006","1871/09/12","7 h 35 min","5","B","MONTS DU CHALONNAIS (JONCY)","BOURGOGNE",""
"","180009","1872/01/13","9 h","4.5","B","VAL DE GERMIGNY (ST-AMAND-MONTROND)","BERRY",""
"","260063","1872/06/20","","6.5","I","TRICASTIN (LA GARDE-ADHEMAR)","DAUPHINE","GROUPE DE SECOUSSES D UN ESSAIM"
"","140027","1872/08/22","3 h 7 min","3.5","I","BOGAGE VIROIS (VIRE)","NORMANDIE",""
"","40047","1872/12/02","16 h 38 min","5","I","PREALPES DE DIGNE (DIGNE)","ALPES PROVENCALES",""
"","130147","1872/12/03","20 h","4","B","BASSE-PROVENCE (GREASQUE)","PROVENCE",""
"","150018","1873/02/15","22 h 45 min","5","I","MASSIF DU CANTAL (MURAT)","AUVERGNE",""
"","380121","1873/05","","5","I","GRESIVAUDAN (PONTCHARRA)","DAUPHINE",""
"","260065","1873/07/14","23 h 45 min","5","C","TRICASTIN (CHATEAUNEUF-DU-RHONE)","DAUPHINE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","260069","1873/07/19","3 h 50 min","7","C","TRICASTIN (CHATEAUNEUF-DU-RHONE)","DAUPHINE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","430022","1873/07/19","2 h","3","I","VELAY (LE PUY)","AUVERGNE",""
"","260080","1873/08/08","3 h","7","C","TRICASTIN (CHATEAUNEUF-DU-RHONE)","DAUPHINE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","20006","1873/08/29","9 h 21 min","4","B","NOYONNAIS (CHAUNY)","PICARDIE",""
"","260088","1873/09/04","","4.5","A","TRICASTIN (CHATEAUNEUF-DU-RHONE)","DAUPHINE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","1130038","1873/09/17","20 h 30 min","6.5","C","LOMBARDIE (LERICI)","ITALIE",""
"","250010","1873/11/10","19 h 30 min","4.5","I","JURA (ORNANS)","FRANCHE-COMTE",""
"","650120","1873/11/26","4 h 33 min","7","A","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",""
"","1130400","1874/03/14","19 h 55 min","4","C","RIVIERA DI PONENTE (SAN REMO)","ITALIE",""
"","170057","1874/04/15","6 h 30 min","4.5","B","SAINTONGE (JONZAC)","CHARENTES",""
"","560014","1874/06","","4","I","VANNETAIS (LORIENT)","BRETAGNE",""
"","640263","1874/06/10","21 h 30 min","4.5","E","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",""
"","490103","1874/12/04","10 h 45 min","5","C","MAUGES (THOUARCE)","ANJOU",""
"","650174","1874/12/11","4 h 34 min","4","C","BIGORRE (LA MONGIE)","PYRENEES CENTRALES",""
"","650175","1874/12/14","20 h 22 min","3","C","BIGORRE (LA MONGIE)","PYRENEES CENTRALES","REPLIQUE"
"","680050","1875/01/01","4 h","5","B","SUNDGAU (ALTKIRCH)","ALSACE",""
"","230005","1875/09/09","2 h","4.5","I","HAUTE-MARCHE (GUERET)","LIMOUSIN","GROUPE DE SECOUSSES D UN ESSAIM"
"","730115","1875/10/14","9 h 30 min","5","B","TARENTAISE (MOUTIERS)","ALPES SAVOYARDES",""
"","70013","1875/11/07","2 h","4.5","I","HAUT-VIVARAIS (LAMASTRE)","CEVENNES",""
"","660033","1876/02/04","14 h 30 min","6","C","CERDAGNE (PUIGCERDA)","ESPAGNE",""
"","500030","1876/02/06","18 h 15 min","4","I","BOCAGE NORMAND (COUTANCES)","NORMANDIE",""
"","730116","1876/02/10","3 h","4.5","I","CLUSE DE CHAMBERY (CHAMBERY)","ALPES SAVOYARDES",""
"","60134","1876/02/23","2 h 30 min","4","I","COTE D'AZUR (ANTIBES)","ALPES MARITIMES",""
