"","Identifiant","Date (AAAA/MM/JJ)","Heure","Intensité épicentrale","Qualité intensité épicentrale","Nom","Région épicentrale","Choc"
"","1130575","1502/05","","7","I","PIEMONT (CUNEO)","ITALIE",""
"","1130576","1502/09/23","","7","I","PIEMONT (CUNEO)","ITALIE",""
"","1100009","1504/08/23","23 h","6.5","C","HAUTES-FAGNES (AIX-LA-CHAPELLE)","ALLEMAGNE",""
"","1110222","1509/10/18","20 h","7.5","E","JURA SOUABE ?","ALLEMAGNE",""
"","40002","1509/12/13","11 h","8","C","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM"
"","790004","1512/08/25","","4.5","I","GATINE (ST-MAIXENT-L'ECOLE)","POITOU",""
"","180002","1522/06/25","22 h","7.5","E","PLATEAU MERIDIONAL (LE GRAND-PRESSIGNY ?)","TOURAINE",""
"","1120161","1523/05/19","3 h","5.5","C","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","1110007","1523/12/27","23 h 55 min","6.5","C","FORET NOIRE (FREIBURG)","ALLEMAGNE",""
"","1120185","1523/12/28","1 h","5","I","JURA SUISSE (BALE)","SUISSE",""
"","1120315","1524/04/19","","8","C","VALAIS (ARDON, CONTHEY)","SUISSE",""
"","1120186","1527/02/07","12 h","4","I","LAC LEMAN (GENEVE)","SUISSE",""
"","1120344","1533/12/27","","5","I","JURA SUISSE (BALE)","SUISSE",""
"","640494","1537/09/22","17 h","7","I","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",""
"","730002","1542/05/14","20 h","6.5","E","PIEMONT (PINEROLO ?)","ITALIE",""
"","810006","1543/09/03","22 h","4.5","I","ALBIGEOIS ?","LANGUEDOC",""
"","640569","1543/09/14","","5","I","BEARN (MAULEON)","PYRENEES OCCIDENTALES",""
"","350003","1544","","5","I","BASSIN DE RENNES (RENNES)","BRETAGNE",""
"","140004","1544/10/06","21 h","5","I","BESSIN (BAYEUX)","NORMANDIE",""
"","330020","1545/03","","3","I","BASSE VALLEE DE LA GARONNE ?","GUYENNE",""
"","330021","1545/08","","5","E","BASSE VALLEE DE LA GARONNE ?","GUYENNE",""
"","310002","1546/04/21","12 h","6","E","GAILLACOIS ?","LANGUEDOC",""
"","680015","1548/02/09","","5.5","E","SUNDGAU ?","ALSACE",""
"","260002","1549/01/16","22 h","5","C","BASSIN DE MONTELIMAR (MONTELIMAR)","DAUPHINE","GROUPE DE SECOUSSES D UN ESSAIM"
"","260003","1549/05/04","22 h","6","I","BASSIN DE MONTELIMAR (MONTELIMAR)","DAUPHINE",""
"","1130567","1549/05/13","9 h","7","C","RIVIERA DI PONENTE (SAVONA)","ITALIE",""
"","1130564","1550/02/28","17 h","7","C","PIEMONT (CUNEO)","ITALIE",""
"","1150114","1551/05/25","11 h","7","C","SURREY (CROYDON)","GRANDE-BRETAGNE",""
"","680016","1552/09/16","3 h","5.5","E","SUNDGAU ?","ALSACE",""
"","1100032","1554/03/21","23 h 55 min","6","E","LIMBOURG (N. GENK ?)","BELGIQUE",""
"","370040","1557/07/01","19 h","3.5","I","GATINE-DE-LOCHES (LA GUERCHE)","TOURAINE",""
"","60010","1564/07/20","20 h","8","C","ALPES NICOISES (LA BOLLENE-VESUBIE)","ALPES MARITIMES","GROUPE DE SECOUSSES D UN ESSAIM"
"","840093","1568/11/08","","5","B","BARONNIES (MALAUCENE)","VAUCLUSE",""
"","1120190","1569/08/06","5 h","6","I","JURA SUISSE (BALE)","SUISSE",""
"","630080","1570/07/31","18 h","5","I","LIMAGNE (RIOM)","AUVERGNE",""
"","430003","1570/08/15","","5.5","I","VELAY (LE PUY)","AUVERGNE",""
"","850052","1572/03/26","","4","I","PLAINE VENDEENNE (FONTENAY-LE-COMTE)","PAYS NANTAIS ET VENDEEN",""
"","690026","1573/06/24","","4.5","I","LYONNAIS (LYON)","FOREZ-LYONNAIS",""
"","1120191","1574/07/30","21 h","5","I","JURA SUISSE (BALE)","SUISSE",""
"","1120343","1575/04/25","11 h","5","I","GENEVOIS (GENEVE)","SUISSE",""
"","690001","1578/05/20","16 h","6.5","E","BAS-PLATEAUX DAUPHINOIS (LA TOUR-DU-PIN ?)","DAUPHINE",""
"","370005","1579/01/26","6 h 50 min","7.5","E","MARCHE-BOISCHAUT ?","BERRY","GROUPE DE SECOUSSES D UN ESSAIM"
"","870004","1579/08/10","","5.5","I","MONTS D'AMBAZAC (GRANDMONT)","LIMOUSIN",""
"","1150004","1580/04/06","16 h","7.5","C","MANCHE (DETROIT DE CALAIS-DOUVRES)","GRANDE-BRETAGNE",""
"","1150071","1580/04/07","4 h 30 min","3.5","I","MANCHE (DETROIT DE CALAIS-DOUVRES)","GRANDE-BRETAGNE","REPLIQUE"
"","1150070","1580/04/07","4 h","3","I","MANCHE (DETROIT DE CALAIS-DOUVRES)","GRANDE-BRETAGNE","REPLIQUE"
"","1150072","1580/05/01","2 h","6","E","MANCHE (DETROIT DE CALAIS-DOUVRES)","GRANDE-BRETAGNE","REPLIQUE"
"","1120001","1584/03/11","11 h 30 min","7","B","LAC LEMAN (MONTREUX)","SUISSE",""
"","500011","1584/11/12","19 h","6","I","MONT-SAINT-MICHEL","NORMANDIE",""
"","490023","1588/03/25","10 h","6.5","C","VAL D'ANJOU (ANGERS)","ANJOU",""
"","50002","1590/12/28","22 h","5","I","QUEYRAS (CHATEAU-VILLE-VIEILLE)","ALPES DAUPHINOISES",""
"","170007","1591/04/24","12 h","5.5","A","ILE DE RE","CHARENTES",""
"","650450","1592/07/06","17 h","5","I","BIGORRE (TARBES)","PYRENEES CENTRALES",""
"","370006","1593/04/08","21 h 0 min","6","B","VAL D'ANJOU (ANGERS)","ANJOU",""
"","1120159","1593/11/15","","4.5","I","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","170009","1593/11/19","15 h","5","I","AUNIS (LA ROCHELLE)","CHARENTES",""
"","630007","1594/05/08","5 h","5","I","LIMAGNE (RIOM)","AUVERGNE",""
"","1120050","1601/09/18","1 h 45 min","8","C","LAC DES 4 CANTONS (LUCERNE)","SUISSE",""
"","290001","1601/12/19","23 h","5","C","LEON (MORLAIX)","BRETAGNE",""
"","840108","1603/01/26","21 h 0 min","4.5","I","COMTAT (CAVAILLON)","VAUCLUSE",""
"","840109","1603/01/27","14 h 0 min","3","I","COMTAT (CAVAILLON)","VAUCLUSE","REPLIQUE"
"","840111","1603/01/28","5 h 0 min","3","I","COMTAT (CAVAILLON)","VAUCLUSE","REPLIQUE"
"","840110","1603/01/28","2 h 0 min","3","I","COMTAT (CAVAILLON)","VAUCLUSE","REPLIQUE"
"","840113","1603/03/20","21 h 0 min","4.5","I","COMTAT (CAVAILLON)","VAUCLUSE",""
"","840114","1603/06/29","10 h 0 min","4.5","I","COMTAT (CAVAILLON)","VAUCLUSE",""
"","840115","1603/11/29","23 h 0 min","4","I","COMTAT (CAVAILLON)","VAUCLUSE",""
"","70001","1604/12/07","","5","I","BAS-VIVARAIS (VIVIERS)","CEVENNES",""
"","170014","1605/08/24","19 h","5.5","I","AUNIS (LA ROCHELLE)","CHARENTES",""
"","310003","1608/11/28","22 h","4","I","PLAINES DE HAUTE-GARONNE (TOULOUSE)","LANGUEDOC",""
"","490029","1609/01/16","2 h","6","C","VAL D'ANJOU (ANGERS)","ANJOU",""
"","260009","1610/01/02","21 h","4","I","BASSIN DE MONTELIMAR (MONTELIMAR)","DAUPHINE","PRECURSEUR"
"","260010","1610/01/03","18 h","5","I","BASSIN DE MONTELIMAR (MONTELIMAR)","DAUPHINE",""
"","1120192","1610/11/29","","6","I","JURA SUISSE (BALE)","SUISSE",""
"","1130003","1612/01/31","15 h","7.5","C","RIVIERA DI PONENTE (LOANO)","ITALIE",""
"","1120312","1614/02/27","","5","C","JURA SUISSE (BALE)","SUISSE",""
"","680023","1614/05/22","","5","I","PLAINE DE HAUTE-ALSACE (THANN)","ALSACE",""
"","350046","1614/08/27","5 h","4.5","I","MARAIS DE DOL (ST-BROLADRE)","BRETAGNE",""
"","1120051","1614/10/05","1 h 45 min","5","E","FORET NOIRE (S. SCHOPFHEIM ?)","ALLEMAGNE",""
"","230054","1617/05/03","","5","I","COMBRAILLE (AUZANCE ?)","LIMOUSIN",""
"","60018","1618/01/18","5 h","8","C","ALPES NICOISES (COARAZE)","ALPES MARITIMES",""
"","640495","1618/06/08","20 h","5.5","I","BEARN (PAU)","PYRENEES OCCIDENTALES","PRECURSEUR"
"","640160","1618/07/03","5 h","6.5","B","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",""
"","1110158","1619/01/19","6 h","5","C","TAUNUS (FRANCFORT)","ALLEMAGNE",""
"","500012","1619/04/30","19 h","5","C","MARAIS DE DOL (ST-BROLADRE ?)","BRETAGNE",""
"","490030","1619/08/11","11 h","5.5","E","BOCAGE VENDEEN (LES HERBIERS)","PAYS NANTAIS ET VENDEEN",""
"","1120003","1621/05/30","15 h","7","C","JURA SUISSE (BIEL/AERGERTEN)","SUISSE",""
"","1110241","1621/08/20","","5.5","I","HESSE (WIESBADEN)","ALLEMAGNE",""
"","130112","1622/02/01","","6","I","CRAU (SALON-DE-PROVENCE)","PROVENCE",""
"","560042","1622/05/19","23 h 55 min","5","I","VANNETAIS (AURAY)","BRETAGNE",""
"","50004","1624/12/26","23 h","5","I","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",""
"","650004","1625/05/08","23 h 55 min","7","E","BIGORRE ?","PYRENEES CENTRALES",""
"","1110160","1626/01/21","9 h","5","I","VALLEE DU RHIN (WORMS)","ALLEMAGNE",""
"","650005","1627/07/05","9 h","5","I","BIGORRE (ST-SAVIN)","PYRENEES CENTRALES",""
"","490031","1628/08/27","13 h","5","I","VAL D'ANJOU (ANGERS)","ANJOU",""
"","430006","1631/09/16","1 h","5","C","VELAY (LE PUY)","AUVERGNE",""
"","560062","1632/01/01","8 h","5","I","VANNETAIS (VANNES)","BRETAGNE",""
"","350049","1634/09/23","11 h","5","I","PAYS DE FOUGERES","BRETAGNE",""
"","260206","1635/12/24","10 h","5","I","PLAINE DE VALENCE (VALENCE)","DAUPHINE",""
"","670017","1636/06","","5","C","PLAINE DE BASSE-ALSACE (SELESTAT)","ALSACE","GROUPE DE SECOUSSES D UN ESSAIM"
"","60027","1637/11/20","","6.5","C","RIVIERA DI LEVANTE (CHIAVARI)","ITALIE",""
"","630008","1639/01/13","","5","C","BRIVADOIS (BLESLE)","AUVERGNE",""
"","170016","1639/02/16","11 h","5","E","BAS-PAYS CHARENTAIS (ROCHEFORT)","CHARENTES",""
"","170017","1639/06/03","","4","I","AUNIS (LA ROCHELLE)","CHARENTES",""
"","1110098","1640/04/04","3 h 30 min","7.5","C","HAUTES-FAGNES (DUREN)","ALLEMAGNE",""
"","500013","1640/07/06","23 h","6","E","BOCAGE NORMAND (COUTANCES ?)","NORMANDIE",""
"","1110161","1642/06/14","22 h","3.5","I","FORET NOIRE (FREIBURG)","ALLEMAGNE",""
"","60028","1644/02/15","4 h 30 min","8","C","ALPES NICOISES (ROQUEBILLIERE)","ALPES MARITIMES","GROUPE DE SECOUSSES D UN ESSAIM"
"","120007","1646/04/27","15 h","5","C","PAYS DE CONQUES ?","QUERCY-ROUERGUE",""
"","430008","1646/10/27","4 h","5","C","VELAY (LE PUY)","AUVERGNE","GROUPE DE SECOUSSES D UN ESSAIM"
"","520004","1646/12/05","14 h","4","C","PLATEAU DE LANGRES (PRANGEY)","CHAMPAGNE",""
"","380111","1649/03/20","","5.5","I","BAS-PLATEAUX DAUPHINOIS (BEAUREPAIRE)","DAUPHINE",""
"","1120286","1649/12/05","","5.5","I","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","1120194","1650/05/16","12 h","6","B","JURA SUISSE (BALE)","SUISSE",""
"","1120053","1650/09/21","3 h","6.5","B","JURA SUISSE (BALE)","SUISSE",""
"","1120198","1650/10/30","14 h","6","E","SCHAFFHAUSEN ?","SUISSE",""
"","1120199","1650/11/04","12 h","6.5","C","BODENSEE (KONSTANZ ?)","ALLEMAGNE",""
"","870035","1651/08/24","18 h","4.5","I","BASSE-MARCHE (LE DORAT)","LIMOUSIN",""
"","1120054","1653/01/24","23 h","5","C","JURA SUISSE (BALE)","SUISSE",""
"","1110162","1654/03/17","21 h 45 min","6","E","JURA SOUABE (TUBINGEN)","ALLEMAGNE",""
"","1110163","1655/03/28","20 h","4","I","JURA SOUABE (TUBINGEN)","ALLEMAGNE",""
"","1110164","1655/03/29","2 h","5.5","C","JURA SOUABE (TUBINGEN)","ALLEMAGNE","GROUPE DE SECOUSSES D UN ESSAIM"
"","670019","1655/03/31","18 h","4.5","I","PLAINE DE BASSE-ALSACE (STRASBOURG)","ALSACE",""
"","670018","1655/03/31","7 h","4.5","I","PLAINE DE BASSE-ALSACE (STRASBOURG)","ALSACE",""
"","1110165","1655/04/03","4 h","6.5","B","JURA SOUABE (TUBINGEN)","ALLEMAGNE",""
"","1110166","1655/04/05","23 h 45 min","5","I","JURA SOUABE (TUBINGEN)","ALLEMAGNE",""
"","1110169","1655/04/08","5 h","5","B","JURA SOUABE (TUBINGEN)","ALLEMAGNE","GROUPE DE SECOUSSES D UN ESSAIM"
"","1110170","1655/04/09","9 h 45 min","6","C","JURA SOUABE (TUBINGEN)","ALLEMAGNE",""
"","370007","1657/02/15","15 h","7.5","C","PLATEAU DE SAINTE-MAURE (STE-MAURE)","TOURAINE",""
"","790033","1658/10/27","23 h 55 min","5","I","PLAINES DU HAUT-POITOU (THOUARS)","POITOU",""
"","650009","1660/06/21","4 h","8.5","C","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",""
"","490033","1663/01/14","0 h 5 min","7","E","BOCAGE VENDEEN (CHATILLON-SUR-SEVRES ?)","POITOU",""
"","870007","1663/02/20","","4.5","I","BASSE-MARCHE (CHATEAUPONSAC)","LIMOUSIN","GROUPE DE SECOUSSES D UN ESSAIM"
"","610003","1664/05/01","6 h","4","I","CAMPAGNE D'ARGENTAN (ARGENTAN)","NORMANDIE",""
"","130003","1664/07/10","8 h","5.5","E","BASSIN D'AIX-EN-PROVENCE (AIX-EN-PROVENCE)","PROVENCE",""
"","130004","1664/11/10","","4.5","I","BASSIN D'AIX-EN-PROVENCE (AIX-EN-PROVENCE)","PROVENCE",""
"","650024","1665/02/04","4 h","7","E","BIGORRE (LOURDES ?)","PYRENEES CENTRALES",""
"","680130","1666/01/16","3 h","4.5","I","VOSGES ALSACIENNES (MUNSTER)","ALSACE",""
"","500014","1668/10/08","5 h","5","E","CHAUSEY ?","ILES ANGLO-NORMANDES",""
"","1130577","1669","","5.5","I","PIEMONT (CUNEO)","ITALIE",""
"","670020","1669/10/10","12 h 45 min","6","C","PLAINE DE BASSE-ALSACE (STRASBOURG)","ALSACE","GROUPE DE SECOUSSES D UN ESSAIM"
"","1120149","1670/07/17","2 h","8","B","TIROL (INNSBRUCK)","AUTRICHE",""
"","1110172","1673/02/19","15 h","7","B","BASSE-PLAINE DU RHIN (BONN)","ALLEMAGNE",""
"","400001","1673/12/11","4 h","3.5","I","CHALOSSE (DAX)","GASCOGNE",""
"","1120056","1674/12/16","8 h","6","C","SUNDGAU (S-W. MULHOUSE)","ALSACE",""
"","130005","1678/09/02","3 h","7","E","MOYENNE-DURANCE (MANOSQUE ?)","ALPES PROVENCALES",""
"","1120057","1680/08/03","23 h","6.5","E","MITTELLAND (BERNE ?)","SUISSE",""
"","1150109","1681/01/13","19 h","4.5","B","SOMERSET (CHEDZOY)","GRANDE-BRETAGNE",""
"","1120209","1681/01/14","20 h","5","I","JURA SUISSE (PORRENTRUY)","SUISSE",""
"","1120210","1681/01/15","2 h","3","I","JURA SUISSE (PORRENTRUY)","SUISSE","REPLIQUE"
"","1110093","1681/01/28","16 h","6","C","VALLEE DU RHIN (MAINZ)","ALLEMAGNE",""
"","1120059","1681/02/06","22 h","6","C","APPENZELL ?","SUISSE",""
"","880001","1682/05/12","2 h 30 min","8","B","HAUTES-VOSGES (REMIREMONT)","VOSGES",""
"","1150108","1683/10/16","23 h","3.5","I","DEVON (EXETER)","GRANDE-BRETAGNE",""
"","40210","1684/08/31","23 h 55 min","5.5","I","PREALPES DE DIGNE (DIGNE)","ALPES PROVENCALES",""
"","710019","1686/12/22","17 h","5","E","PAYS D'AUTUN ET DU CREUSOT (EPINAC ?)","BOURGOGNE",""
"","760013","1687","","5","I","PAYS DE CAUX (DIEPPE)","NORMANDIE",""
"","430009","1687/09/11","3 h","5","I","VELAY (LE MONASTIER-SUR-GAZEILLE)","AUVERGNE",""
"","1110027","1690/12/04","15 h","8","E","CARINTHIE ? (VILLACH)","AUTRICHE",""
"","1110173","1690/12/18","17 h 30 min","7","B","HAUTES-FAGNES (AIX-LA-CHAPELLE)","ALLEMAGNE",""
"","1110028","1691/02/20","7 h","5","C","VALLEE DU RHIN (S-E. MAYENCE ? )","ALLEMAGNE",""
"","1100010","1692/09/18","14 h","7.5","B","PAYS DE LIEGE (CHARNEUX-EMAEL)","BELGIQUE",""
"","1100012","1692/10/28","6 h","6","C","PAYS DE LIEGE (SOIRON ?)","BELGIQUE","REPLIQUE"
"","320004","1693/06/22","3 h","4","I","PAYS DE MIRANDE (PONSAN-SOUBIRAN)","GASCOGNE",""
"","130136","1693/12/12","20 h","5","I","COMTAT (TARASCON-SUR-RHONE)","PROVENCE",""
"","360036","1699/04/14","9 h","5.5","I","BRANDES DU HAUT-POITOU (ANTIGNY)","POITOU",""
"","140005","1699/05/02","17 h","6","I","BOCAGE NORMAND (VIRE)","NORMANDIE",""
"","370008","1704/03/11","15 h","7.5","E","PLATEAU DE SAINTE-MAURE (LIGUEIL ?)","TOURAINE",""
"","1120147","1704/04/18","22 h","3","B","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","560004","1705/04/19","11 h","5","I","PAYS DE PONTIVY (BIEUZY)","BRETAGNE",""
"","440082","1706/07/12","14 h","4.5","I","PAYS DE RETZ (ST-VIAUD)","PAYS NANTAIS ET VENDEEN",""
"","490035","1706/09/07","2 h","7","C","VALLEE DE LA LOIRE (LANGEAIS)","TOURAINE",""
"","170024","1706/09/15","3 h 45 min","5.5","C","ILE D'OLERON","CHARENTES",""
"","440007","1708/03/13","5 h","6.5","E","LOUDUNOIS ?","POITOU",""
"","40004","1708/03/21","23 h","5.5","B","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",""
"","40005","1708/08/14","6 h 15 min","8","B","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",""
"","40012","1708/08/20","14 h 50 min","7","B","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES","REPLIQUE"
"","40024","1708/09/20","15 h 30 min","2.5","I","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES","REPLIQUE"
"","370023","1709/08/29","3 h","3.5","I","VALLEE DE LA LOIRE (LANGEAIS)","TOURAINE","PRECURSEUR"
"","370024","1709/08/29","20 h","5","I","VALLEE DE LA LOIRE (LANGEAIS)","TOURAINE",""
"","860004","1711/10/06","19 h","7.5","B","LOUDUNOIS (LOUDUN)","POITOU",""
"","1100040","1714/01/13","21 h","6","C","LIMBOURG (MAASTRICH)T","PAYS-BAS",""
"","640161","1714/07/06","14 h","5","I","PAYS BASQUE (BAYONNE)","PYRENEES OCCIDENTALES","GROUPE DE SECOUSSES D UN ESSAIM"
"","860051","1715/05/11","23 h","4","I","LOUDUNOIS (VERRUE)","POITOU",""
"","1120336","1716/06/29","22 h","4","I","GENEVOIS (GENEVE)","SUISSE",""
"","1120094","1716/11/20","14 h","4","C","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","1120093","1716/11/26","16 h","5","B","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","50102","1719/06/11","2 h","5.5","C","BARONNIES (MOYDANS)","ALPES DAUPHINOISES",""
"","1120062","1721/07/03","8 h 15 min","6","C","JURA SUISSE (BALE)","SUISSE",""
"","730226","1724/07/15","18 h 30 min","5","I","BAUGES (ARITH)","ALPES SAVOYARDES",""
"","440009","1725/01/13","20 h","4","B","ESTUAIRE DE LA LOIRE (ST-NAZAIRE)","PAYS NANTAIS ET VENDEEN",""
"","900002","1725/04/14","","5","I","TERRITOIRE DE BELFORT (ANGEOT)","FRANCHE-COMTE",""
"","1150131","1726/10/25","3 h","5","C","DORSET (DORCHESTER)","GRANDE-BRETAGNE",""
"","1150135","1726/10/30","7 h","5","I","ILLCHESTER (SOMERSET)","GRANDE-BRETAGNE",""
"","130008","1727/03/22","21 h 30 min","5","I","CAMARGUE (ARLES)","PROVENCE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","1110242","1727/05/12","6 h","5","E","HESSE (FRANKFURT AM MAIN)","ALLEMAGNE",""
"","130009","1727/05/24","6 h 45 min","4","C","CAMARGUE (ARLES)","PROVENCE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","130010","1727/05/27","1 h 45 min","6.5","C","CAMARGUE (ARLES)","PROVENCE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","1150115","1727/07/19","4 h","7","C","GLAMORGAN (S-E SWANSEA)","GRANDE-BRETAGNE",""
"","130017","1728/01/17","","3","I","CAMARGUE (ARLES)","PROVENCE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","670024","1728/08/03","16 h 30 min","7","B","VALLEE DU RHIN (LAHR)","ALLEMAGNE",""
"","670029","1728/08/04","2 h 15 min","5.5","E","VALLEE DU RHIN (LAHR)","ALLEMAGNE","REPLIQUE"
"","1120063","1729/01/13","22 h","7","C","OBERLAND (THUN-INTERLAKEN)","SUISSE",""
"","130025","1730/10/11","15 h 45 min","3.5","I","CAMARGUE (ARLES)","PROVENCE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","130027","1730/10/28","7 h 45 min","6.5","I","CAMARGUE (ARLES)","PROVENCE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","840006","1731/06/15","22 h 45 min","6.5","B","COMTAT (CAVAILLON)","VAUCLUSE",""
"","840106","1731/07/01","7 h 45 min","3","I","COMTAT (CAVAILLON)","VAUCLUSE","REPLIQUE"
"","230044","1732/06/21","12 h","4","C","HAUTE-MARCHE (JARNAGES)","LIMOUSIN",""
"","1100041","1733/04/13","20 h 45 min","6.5","C","OESLING (GROSBOUS)","LUXEMBOURG",""
"","1110176","1733/05/18","14 h","7","B","TAUNUS (MAYENCE)","ALLEMAGNE",""
"","1120214","1733/07/08","1 h 30 min","5.5","I","JURA SUISSE (BUREN AN DER AARE)","SUISSE",""
"","1150009","1734/11/05","3 h 50 min","6","E","MANCHE (S. ILE DE WIGHT)","GRANDE-BRETAGNE","GROUPE DE SECOUSSES D UN ESSAIM"
"","170025","1735/05/31","21 h 30 min","4.5","B","AUNIS (BALLON)","CHARENTES",""
"","880003","1735/06/10","21 h","5","I","HAUTES-VOSGES (REMIREMONT)","VOSGES",""
"","730005","1736/04/23","","5.5","I","MAURIENNE (FONTCOUVERTE)","ALPES SAVOYARDES",""
"","1120065","1736/06/12","20 h","6","E","JURA SUISSE (DELEMONT ?)","SUISSE",""
"","20012","1736/06/25","20 h","4.5","I","SOISSONNAIS","PICARDIE",""
"","1110029","1737/05/11","15 h","6","B","VALLEE DU RHIN (KARLSRUHE-RASTATT)","ALLEMAGNE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","1110037","1737/05/18","22 h","7","B","VALLEE DU RHIN (KARLSRUHE-RASTATT)","ALLEMAGNE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","1110041","1737/05/21","21 h","5","B","VALLEE DU RHIN (KARLSRUHE-RASTATT)","ALLEMAGNE","SECOUSSE INDIVIDUALISEE D UN ESSAIM"
"","840007","1738/10/18","16 h 15 min","6","C","COMTAT (CARPENTRAS)","VAUCLUSE",""
"","1120140","1739/03/18","12 h","5","I","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","70002","1740/01/30","11 h","5","E","HAUT-VIVARAIS (ANNONAY)","CEVENNES",""
"","60030","1740/08/29","0 h 30 min","5","I","COTE D'AZUR (ANTIBES)","ALPES MARITIMES",""
"","1120139","1741/02/02","21 h","5","B","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","820001","1743/03/07","21 h 15 min","7","E","BEARN ?","PYRENEES OCCIDENTALES","GROUPE DE SECOUSSES D UN ESSAIM"
"","1110234","1743/04/07","","5","I","BADEN-WURTTEMBERG (LAUFFEN AM NECKAR)","ALLEMAGNE",""
"","340005","1745/07/09","15 h","3","I","BITTEROIS (BEZIERS)","LANGUEDOC","PRECURSEUR"
"","340006","1745/07/11","","4.5","I","BITTEROIS (BEZIERS)","LANGUEDOC",""
"","330008","1746/09/07","0 h 5 min","5","E","ENTRE-DEUX-MERS, BORDELAIS","GUYENNE",""
"","850002","1747/08","","5.5","I","ILE DE NOIRMOUTIER","PAYS NANTAIS ET VENDEEN",""
"","1150052","1749/05/14","10 h","3.5","I","DORSETSHIRE (WIMBORNE)","GRANDE-BRETAGNE",""
"","370010","1749/10/11","19 h 8 min","6","C","CHATELLERAUDAIS ?","POITOU",""
"","1150005","1750/02/19","12 h 40 min","6","B","LONDRES","GRANDE-BRETAGNE","GROUPE DE SECOUSSES D UN ESSAIM"
"","1150045","1750/02/20","1 h","3.5","I","DEVONSHIRE (PLYMOUTH)","GRANDE-BRETAGNE",""
"","1150046","1750/03/19","5 h 30 min","6.5","B","LONDRES","GRANDE-BRETAGNE","GROUPE DE SECOUSSES D UN ESSAIM"
"","1150047","1750/03/19","1 h","5","C","LONDRES","GRANDE-BRETAGNE","PRECURSEUR"
"","1150050","1750/03/29","17 h 50 min","5","E","MANCHE (S-E. ILE DE WIGHT)","GRANDE-BRETAGNE",""
"","650037","1750/05/24","22 h","8","B","BIGORRE (JUNCALAS)","PYRENEES CENTRALES",""
"","650041","1750/05/26","1 h","6","I","BIGORRE (JUNCALAS)","PYRENEES CENTRALES","REPLIQUE"
"","740159","1750/06/10","","4.5","I","AVANT-PAYS SAVOYARD (RUMILLY)","ALPES SAVOYARDES",""
"","650044","1750/06/15","12 h","7","C","BIGORRE (JUNCALAS)","PYRENEES CENTRALES","REPLIQUE"
"","500016","1750/10/11","12 h","6.5","B","LEICESTERSHIRE (UPPINGHAM)","GRANDE-BRETAGNE",""
"","650053","1751/01/23","","5.5","E","BIGORRE (LOURDES)","PYRENEES CENTRALES",""
"","470005","1751/05/04","","4","I","AGENAIS ?","GUYENNE",""
"","470004","1751/12/17","3 h","3","I","AGENAIS ?","GUYENNE",""
"","310005","1752/01/12","0 h 30 min","7","E","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",""
"","370037","1752/02/02","5 h 30 min","3","I","VALLEE DE LA LOIRE (TOURS)","TOURAINE",""
"","60032","1752/02/16","4 h 45 min","6","E","RIVIERA DI PONENTE (SAN REMO)","ITALIE",""
"","1150102","1752/03/05","","6.5","C","DEVON (DARTMOOR)","GRANDE-BRETAGNE",""
"","300002","1752/06/19","6 h","3.5","I","GARRIGUES (NIMES)","CEVENNES",""
"","630011","1752/09/06","3 h","5.5","C","LIMAGNE (CLERMONT-FERRAND)","AUVERGNE",""
"","1130110","1753/03/09","14 h","7","C","PIEMONT (PINEROLO)","ITALIE",""
"","290002","1753/12/06","18 h","4","I","PAYS DE BREST (BREST)","BRETAGNE","GROUPE DE SECOUSSES D UN ESSAIM"
"","380006","1754/01/12","22 h","6.5","A","CHARTREUSE (VOREPPE)","DAUPHINE",""
"","350004","1755/02/06","0 h 7 min","5.5","E","MENE (MOHON ?)","BRETAGNE",""
