Identifiant,Date (AAAA/MM/JJ),Heure,Nom,Région épicentrale,Choc,X RGF93/L93,Y RGF93/L93,Latitude en WGS 84,Longitude en WGS 84,Intensité épicentrale,Qualité intensité épicentrale
40121,1960/01/28,14 h 34 min 19 sec,UBAYE (ST-PAUL),ALPES PROVENCALES,REPLIQUE,996437.02,6390445.20,44.55,6.73,5,ASSEZ SURE
210029,1967/07/16,14 h 4 min 14 sec,PLAINE DE HAUTE-BOURGOGNE (AUXONNE),BOURGOGNE,,884129.68,6682434.12,47.22,5.43,5,ASSEZ SURE
850041,1968/03/24,19 h 51 min 36 sec,COTE VENDEENNE (ST-JEAN-DE-MONTS),PAYS NANTAIS ET VENDEEN,REPLIQUE,321103.86,6639684.62,46.75,-1.97,4.5,ASSEZ SURE
640437,1982/06/12,9 h 59 min 12 sec,OSSAU (CASTET),PYRENEES OCCIDENTALES,,420203.08,6224680.16,43.07,-0.43,5.5,SURE
60171,2000/12/20,5 h 45 min 15 sec,ALPES NICOISES (CONTES),ALPES MARITIMES,REPLIQUE,1049842.19,6311600.24,43.82,7.35,3.5,ASSEZ SURE
